\begin{tabular}{lrrrrrr}
 & P\_5 & P\_10 & P\_20 & ndcg & map & num\_rel\_ret \\
baseline & 0.512 & 0.510 & 0.452 & 0.362 & 0.164 & 9420 \\
1 & 0.638 & 0.617 & 0.564 & 0.231 & 0.117 & 5207 \\
2 & 0.616 & 0.624 & 0.578 & 0.386 & 0.187 & 9832 \\
3 & 0.057 & 0.045 & 0.038 & 0.031 & 0.005 & 1130 \\
4 & 0.646 & 0.560 & 0.529 & 0.198 & 0.094 & 4354 \\
5 & 0.646 & 0.581 & 0.569 & 0.251 & 0.126 & 5872 \\
6 & 0.020 & 0.014 & 0.014 & 0.019 & 0.001 & 643 \\
7 & 0.020 & 0.014 & 0.014 & 0.019 & 0.001 & 643 \\
8 & 0.020 & 0.014 & 0.014 & 0.019 & 0.001 & 643 \\
9 & 0.020 & 0.014 & 0.014 & 0.019 & 0.001 & 643 \\
10 & 0.020 & 0.014 & 0.014 & 0.019 & 0.001 & 643 \\
11 & 0.020 & 0.014 & 0.014 & 0.019 & 0.001 & 643 \\
12 & 0.020 & 0.014 & 0.014 & 0.019 & 0.001 & 643 \\
13 & 0.020 & 0.014 & 0.014 & 0.019 & 0.001 & 643 \\
14 & 0.016 & 0.010 & 0.012 & 0.021 & 0.001 & 685 \\
15 & 0.296 & 0.204 & 0.131 & 0.030 & 0.003 & 608 \\
16 & 0.328 & 0.226 & 0.137 & 0.036 & 0.004 & 817 \\
17 & 0.296 & 0.204 & 0.131 & 0.030 & 0.003 & 608 \\
18 & 0.468 & 0.474 & 0.445 & 0.383 & 0.181 & 9965 \\
19 & 0.312 & 0.234 & 0.145 & 0.031 & 0.003 & 608 \\
20 & 0.312 & 0.234 & 0.145 & 0.031 & 0.003 & 608 \\
21 & 0.312 & 0.234 & 0.145 & 0.031 & 0.003 & 608 \\
22 & 0.312 & 0.234 & 0.145 & 0.031 & 0.003 & 608 \\
23 & 0.312 & 0.234 & 0.145 & 0.031 & 0.003 & 608 \\
24 & 0.272 & 0.178 & 0.112 & 0.028 & 0.003 & 608 \\
25 & 0.296 & 0.228 & 0.139 & 0.031 & 0.004 & 608 \\
26 & 0.296 & 0.226 & 0.137 & 0.031 & 0.003 & 612 \\
27 & 0.688 & 0.678 & 0.652 & 0.397 & 0.199 & 9914 \\
28 & 0.292 & 0.226 & 0.138 & 0.031 & 0.004 & 612 \\
29 & 0.020 & 0.010 & 0.012 & 0.021 & 0.001 & 685 \\
30 & 0.020 & 0.010 & 0.012 & 0.021 & 0.001 & 685 \\
31 & 0.688 & 0.678 & 0.652 & 0.397 & 0.199 & 9914 \\
32 & 0.612 & 0.604 & 0.580 & 0.405 & 0.203 & 10276 \\
33 & 0.612 & 0.604 & 0.580 & 0.405 & 0.203 & 10276 \\
34 & 0.612 & 0.604 & 0.580 & 0.405 & 0.203 & 10276 \\
35 & 0.612 & 0.604 & 0.580 & 0.405 & 0.203 & 10276 \\
36 & 0.692 & 0.672 & 0.638 & 0.403 & 0.202 & 10128 \\
37 & 0.652 & 0.660 & 0.600 & 0.387 & 0.188 & 9715 \\
38 & 0.680 & 0.662 & 0.620 & 0.408 & 0.205 & 10261 \\
39 & 0.680 & 0.662 & 0.620 & 0.408 & 0.206 & 10259 \\
40 & 0.676 & 0.666 & 0.625 & 0.408 & 0.205 & 10243 \\
41 & 0.692 & 0.658 & 0.624 & 0.385 & 0.187 & 9669 \\
42 & 0.664 & 0.656 & 0.611 & 0.405 & 0.201 & 10128 \\
43 & 0.748 & 0.708 & 0.673 & 0.439 & 0.236 & 10846 \\
44 & 0.736 & 0.704 & 0.667 & 0.437 & 0.234 & 10809 \\
45 & 0.740 & 0.716 & 0.682 & 0.442 & 0.241 & 10931 \\
46 & 0.720 & 0.702 & 0.676 & 0.444 & 0.242 & 10966 \\
47 & 0.720 & 0.702 & 0.666 & 0.445 & 0.242 & 11015 \\
48 & 0.740 & 0.722 & 0.680 & 0.442 & 0.240 & 10927 \\
49 & 0.744 & 0.720 & 0.680 & 0.442 & 0.240 & 10911 \\
50 & 0.800 & 0.746 & 0.714 & 0.456 & 0.254 & 11134 \\
51 & 0.764 & 0.726 & 0.700 & 0.455 & 0.246 & 11127 \\
52 & 0.776 & 0.738 & 0.707 & 0.459 & 0.253 & 11213 \\
53 & 0.776 & 0.744 & 0.705 & 0.459 & 0.254 & 11230 \\
\end{tabular}
